country_name,iso3,date,year,month,electricity_demand_mwh,solar_generation_mwh,wind_generation_mwh,temperature_c,population_millions,gdp_usd,latitude,longitude,data_source,notes
United States,USA,2016-06-01,2016,6,354399.3,,9122.1,21.21,331.9,"34,220,400",39.8,-98.6,demo_v1,
France,FRA,2022-05-01,2022,5,50247.0,388.1,3764.8,13.0,67.8,"3,885,600",46.2,2.2,demo_v1,
Spain,ESP,2018-02-01,2018,2,32889.1,479.6,2440.0,-4.83,47.4,"2,294,400",40.5,-3.7,demo_v1,
Spain,ESP,2017-01-01,2017,1,34132.0,,63.0,-3.94,47.4,"2,278,800",40.5,-3.7,demo_v1,
Spain,ESP,2020-02-01,2020,2,35214.4,3148.6,5925.1,-3.32,47.4,"2,323,200",40.5,-3.7,demo_v1,
Spain,ESP,2023-06-01,2023,6,28619.8,,2129.3,,47.4,"2,371,200",40.5,-3.7,demo_v1,
Germany,DEU,2020-05-01,2020,5,53177.7,2611.9,5068.8,15.89,83.2,"4,126,800",51.2,10.4,demo_v1,
Germany,DEU,2022-09-01,2022,9,57455.9,3151.1,4578.9,,83.2,"4,160,400",51.2,10.4,demo_v1,
Germany,DEU,2017-02-01,2017,2,56693.7,1997.5,5356.0,4.1,83.2,"4,080,000",51.2,10.4,demo_v1,
France,FRA,2020-06-01,2020,6,42532.2,,3746.6,,67.8,"3,858,000",46.2,2.2,demo_v1,
Norway,NOR,2021-09-01,2021,9,12043.5,,1124.2,18.13,5.4,"1,172,400",60.5,8.5,demo_v1,
France,FRA,2023-04-01,2023,4,63155.5,1504.3,3547.0,,67.8,"3,898,800",46.2,2.2,demo_v1,
United States,USA,2017-10-01,2017,10,414892.2,,21655.6,,331.9,"34,239,600",39.8,-98.6,demo_v1,
United States,USA,2020-06-01,2020,6,384955.9,19485.8,15044.3,17.97,331.9,"34,278,000",39.8,-98.6,demo_v1,
Spain,ESP,2020-01-01,2020,1,35579.4,,3839.8,-1.3,47.4,"2,322,000",40.5,-3.7,demo_v1,
Poland,POL,2021-05-01,2021,5,202569.3,380.5,2327.7,15.01,37.8,"1,441,200",52.0,19.1,demo_v1,
Spain,ESP,2018-03-01,2018,3,31742.2,1160.2,1766.3,3.56,47.4,"2,295,600",40.5,-3.7,demo_v1,
Poland,POL,2016-02-01,2016,2,17564.3,,1880.1,1.37,37.8,"1,365,600",52.0,19.1,demo_v1,
Poland,POL,2020-06-01,2020,6,16134.9,724.9,2810.8,17.97,37.8,"1,428,000",52.0,19.1,demo_v1,
France,FRA,2022-05-01,2022,5,50247.0,388.1,3764.8,13.0,67.8,"3,885,600",46.2,2.2,demo_v1,
United States,USA,2022-11-01,2022,11,564831.2,35306.0,48817.9,8.0,331.9,"34,312,800",39.8,-98.6,demo_v1,
France,FRA,2018-06-01,2018,6,41758.6,1863.9,5456.7,18.39,67.8,"3,829,200",46.2,2.2,demo_v1,
Norway,NOR,2022-12-01,2022,12,15661.8,767.0,882.4,-0.01,5.4,"1,190,400",60.5,8.5,demo_v1,
United States,USA,2021-08-01,2021,8,437921.0,14567.1,37841.8,20.39,331.9,"34,294,800",39.8,-98.6,demo_v1,
Poland,POL,2023-10-01,2023,10,260124.0,1103.1,829.5,8.42,37.8,"1,476,000",52.0,19.1,demo_v1,
Spain,ESP,2020-10-01,2020,10,31252.1,1596.1,1763.0,12.28,47.4,"2,332,800",40.5,-3.7,demo_v1,
United States,USA,2016-05-01,2016,5,363739.6,14476.6,47992.0,16.22,331.9,"34,219,200",39.8,-98.6,demo_v1,
Spain,ESP,2018-12-01,2018,12,35186.7,1703.5,5143.7,-4.36,47.4,"2,306,400",40.5,-3.7,demo_v1,
Norway,NOR,2021-08-01,2021,8,10670.1,445.3,2287.2,24.6,5.4,"1,171,200",60.5,8.5,demo_v1,
USA,USA,2015-07-01,2015,7,301190.6,15840.0,27435.6,22.99,331.9,"34,207,200",39.8,-98.6,demo_v1,
France,FRA,2019-07-01,2019,7,43171.8,1868.1,7152.8,20.18,67.8,"3,844,800",46.2,2.2,demo_v1,
Poland,POL,2020-10-01,2020,10,17615.4,,745.2,9.09,37.8,"1,432,800",52.0,19.1,demo_v1,
France,FRA,2016-07-01,2016,7,37828.5,1734.4,2609.9,18.21,67.8,"3,801,600",46.2,2.2,demo_v1,
Germany,DEU,2021-07-01,2021,7,47842.7,2012.8,4402.9,22.22,83.2,"4,143,600",51.2,10.4,demo_v1,
France,FRA,2016-03-01,2016,3,46407.9,3567.5,6515.1,2.08,67.8,"3,796,800",46.2,2.2,demo_v1,
France,FRA,2018-08-01,2018,8,39434.5,1816.5,3234.3,18.66,67.8,"3,831,600",46.2,2.2,demo_v1,
Germany,DEU,2019-03-01,2019,3,56658.8,3957.4,6172.5,5.75,83.2,"4,110,000",51.2,10.4,demo_v1,
USA,USA,2016-08-01,2016,8,346689.9,,44992.2,21.23,331.9,"34,222,800",39.8,-98.6,demo_v1,
United States,USA,2015-01-01,2015,1,453008.4,38233.2,44608.1,0.46,331.9,"34,200,000",39.8,-98.6,demo_v1,
Spain,ESP,2021-05-01,2021,5,31749.5,900.3,2582.5,15.67,47.4,"2,341,200",40.5,-3.7,demo_v1,
USA,USA,2015-11-01,2015,11,419225.4,26441.4,80771.2,5.25,331.9,"34,212,000",39.8,-98.6,demo_v1,
Poland,POL,2022-09-01,2022,9,221328.6,645.4,1185.4,15.67,37.8,"1,460,400",52.0,19.1,demo_v1,
Germany,DEU,2019-11-01,2019,11,61075.1,3343.0,9962.3,1.21,83.2,N/A,51.2,10.4,demo_v1,
France,FRA,2019-12-01,2019,12,62764.7,,2364.6,-0.16,67.8,"3,850,800",46.2,2.2,demo_v1,
Spain,ESP,2016-11-01,2016,11,29838.2,2213.9,4402.5,5.18,47.4,"2,276,400",40.5,-3.7,demo_v1,
France,FRA,2019-10-01,2019,10,52993.0,1882.4,3605.5,,67.8,"3,848,400",46.2,2.2,demo_v1,
Germany,DEU,2021-09-01,2021,9,52804.4,,8723.0,15.37,83.2,"4,146,000",51.2,10.4,demo_v1,
Spain,ESP,2020-07-01,2020,7,26196.5,1478.3,3239.6,22.12,47.4,"2,329,200",40.5,-3.7,demo_v1,
Poland,POL,2016-06-01,2016,6,13596.7,883.7,3305.9,17.4,37.8,"1,370,400",52.0,19.1,demo_v1,
United States,USA,2017-07-01,2017,7,338755.8,22944.4,0.0,21.13,331.9,"34,236,000",39.8,-98.6,demo_v1,
United States,USA,2020-01-01,2020,1,538675.1,,43874.8,-2.32,331.9,"34,272,000",39.8,-98.6,demo_v1,
Spain,ESP,2019-06-01,2019,6,25040.4,136.5,3781.0,19.13,47.4,"2,313,600",40.5,-3.7,demo_v1,
Poland,POL,2018-08-01,2018,8,16019.7,1239.2,798.7,20.73,37.8,"1,401,600",52.0,19.1,demo_v1,
France,FRA,2016-12-01,2016,12,53977.4,,5197.5,-0.76,67.8,"3,807,600",46.2,2.2,demo_v1,
Germany,DEU,2020-07-01,2020,7,45182.4,,3256.5,,83.2,"4,129,200",51.2,10.4,demo_v1,
United States,USA,2020-03-01,2020,3,521392.0,23320.3,62384.9,6.44,331.9,"34,274,400",39.8,-98.6,demo_v1,
Spain,ESP,2017-12-01,2017,12,33309.4,,4068.8,-1.72,47.4,"2,292,000",40.5,-3.7,demo_v1,
Spain,ESP,2023-04-01,2023,4,35257.1,,1821.1,9.09,47.4,"2,368,800",40.5,-3.7,demo_v1,
Poland,POL,2015-11-01,2015,11,17734.1,,1673.6,3.56,37.8,"1,362,000",52.0,19.1,demo_v1,
France,FRA,2021-03-01,2021,3,56122.7,,1832.1,3.0,67.8,"3,868,800",46.2,2.2,demo_v1,
United States,USA,2020-11-01,2020,11,521598.2,23965.5,15015.8,4.5,331.9,"34,284,000",39.8,-98.6,demo_v1,
Poland,POL,2019-02-01,2019,2,20433.4,1353.9,2188.2,-1.55,37.8,N/A,52.0,19.1,demo_v1,
Germany,DEU,2021-03-01,2021,3,63979.8,2646.3,4446.1,4.11,83.2,"4,138,800",51.2,10.4,demo_v1,
Spain,ESP,2021-08-01,2021,8,26925.4,1077.4,2793.3,21.4,47.4,"2,344,800",40.5,-3.7,demo_v1,
Germany,DEU,2023-12-01,2023,12,73159.4,2547.8,4827.4,-1.46,83.2,"4,178,400",51.2,10.4,demo_v1,
Poland,POL,2022-03-01,2022,3,256748.8,642.9,1905.1,2.18,37.8,"1,453,200",52.0,19.1,demo_v1,
Poland,POL,2019-11-01,2019,11,20395.4,,1079.7,2.74,37.8,"1,419,600",52.0,19.1,demo_v1,
Poland,POL,2019-03-01,2019,3,19086.1,,1567.5,6.06,37.8,"1,410,000",52.0,19.1,demo_v1,
United States,USA,2017-09-01,2017,9,396949.1,,28210.5,13.27,331.9,"34,238,400",39.8,-98.6,demo_v1,
Spain,ESP,2015-06-01,2015,6,21822.1,,2148.7,21.01,47.4,"2,256,000",40.5,-3.7,demo_v1,
Germany,DEU,2019-09-01,2019,9,50030.5,2856.5,2501.5,14.68,83.2,"4,117,200",51.2,10.4,demo_v1,
Germany,DEU,2017-09-01,2017,9,43772.0,,2857.4,17.56,83.2,"4,088,400",51.2,10.4,demo_v1,
Poland,POL,2017-06-01,2017,6,13620.8,705.8,0.0,16.99,37.8,"1,384,800",52.0,19.1,demo_v1,
USA,USA,2015-04-01,2015,4,391000.9,27052.7,73532.8,10.98,331.9,"34,203,600",39.8,-98.6,demo_v1,
Germany,DEU,2016-05-01,2016,5,42813.6,,7174.4,18.29,83.2,"4,069,200",51.2,10.4,demo_v1,
Spain,ESP,2022-07-01,2022,7,28216.5,1108.2,3583.1,25.5,47.4,"2,358,000",40.5,-3.7,demo_v1,
Germany,DEU,2015-06-01,2015,6,36604.2,2064.8,1813.1,20.93,83.2,"4,056,000",51.2,10.4,demo_v1,
United States,USA,2016-07-01,2016,7,343023.4,22105.2,63328.2,20.9,331.9,"34,221,600",39.8,-98.6,demo_v1,
Spain,ESP,2016-01-01,2016,1,31089.7,1293.7,3131.1,-0.53,47.4,"2,264,400",40.5,-3.7,demo_v1,
Poland,POL,2021-08-01,2021,8,202469.6,492.3,1711.9,20.05,37.8,"1,444,800",52.0,19.1,demo_v1,
Norway,NOR,2023-03-01,2023,3,15429.3,,1301.4,3.73,5.4,"1,194,000",60.5,8.5,demo_v1,
France,FRA,2015-04-01,2015,4,44414.5,1733.9,5512.8,9.55,67.8,"3,783,600",46.2,2.2,demo_v1,
France,FRA,2021-11-01,2021,11,60360.6,3331.7,6255.8,1.77,67.8,"3,878,400",46.2,2.2,demo_v1,
Germany,DEU,2017-04-01,2017,4,49596.1,2477.6,6688.6,11.04,83.2,"4,082,400",51.2,10.4,demo_v1,
United States,USA,2021-12-01,2021,12,622157.4,27818.5,26053.3,-0.19,331.9,"34,299,600",39.8,-98.6,demo_v1,
Spain,ESP,2015-04-01,2015,4,25958.7,2757.7,3812.8,10.51,47.4,"2,253,600",40.5,-3.7,demo_v1,
Germany,DEU,2016-01-01,2016,1,54577.9,,6836.6,-4.4,83.2,"4,064,400",51.2,10.4,demo_v1,
Spain,ESP,2017-05-01,2017,5,25124.4,,3264.1,14.18,47.4,"2,283,600",40.5,-3.7,demo_v1,
Germany,DEU,2018-06-01,2018,6,43938.2,,591.5,21.86,83.2,"4,099,200",51.2,10.4,demo_v1,
Poland,POL,2021-02-01,2021,2,269216.9,992.2,1159.4,3.58,37.8,"1,437,600",52.0,19.1,demo_v1,
Germany,DEU,2015-09-01,2015,9,41019.8,1662.1,7575.7,14.38,83.2,"4,059,600",51.2,10.4,demo_v1,
United States,USA,2017-12-01,2017,12,484428.2,,48270.7,1.86,331.9,"34,242,000",39.8,-98.6,demo_v1,
France,FRA,2015-02-01,2015,2,48670.9,,1087.2,-0.39,67.8,"3,781,200",46.2,2.2,demo_v1,
United States,USA,2018-03-01,2018,3,491332.8,,78075.8,3.79,331.9,"34,245,600",39.8,-98.6,demo_v1,
Germany,DEU,2022-01-01,2022,1,73665.0,,7626.4,1.05,83.2,"4,150,800",51.2,10.4,demo_v1,
United States,USA,2022-10-01,2022,10,503262.4,,77949.7,8.13,331.9,"34,311,600",39.8,-98.6,demo_v1,
Spain,ESP,2015-09-01,2015,9,23946.2,780.9,3001.1,13.88,47.4,"2,259,600",40.5,-3.7,demo_v1,
Germany,DEU,2017-07-01,2017,7,41438.7,,4656.4,18.0,83.2,"4,086,000",51.2,10.4,demo_v1,
Poland,POL,2022-11-01,2022,11,281693.9,1089.6,2149.6,1.11,37.8,"1,462,800",52.0,19.1,demo_v1,
Spain,ESP,2016-08-01,2016,8,22983.5,1627.8,1863.6,21.1,47.4,"2,272,800",40.5,-3.7,demo_v1,
Poland,POL,2017-08-01,2017,8,15056.1,1154.0,1613.0,22.81,37.8,"1,387,200",52.0,19.1,demo_v1,
USA,USA,2016-05-01,2016,5,356944.3,28645.1,47048.1,13.8,331.9,"34,219,200",39.8,-98.6,demo_v1,
United States,USA,2023-02-01,2023,2,644695.2,,0.0,0.79,331.9,"34,316,400",39.8,-98.6,demo_v1,
Norway,NOR,2023-12-01,2023,12,16604.6,,2072.7,1.91,5.4,"1,204,800",60.5,8.5,demo_v1,
France,FRA,2022-09-01,2022,9,53378.1,,5444.3,16.21,67.8,"3,890,400",46.2,2.2,demo_v1,
Poland,POL,2022-07-01,2022,7,199447.6,,1230.5,,37.8,"1,458,000",52.0,19.1,demo_v1,
Spain,ESP,2021-06-01,2021,6,27964.7,1796.3,2075.6,18.75,47.4,"2,342,400",40.5,-3.7,demo_v1,
Spain,ESP,2022-04-01,2022,4,32318.4,1625.7,2020.5,9.26,47.4,"2,354,400",40.5,-3.7,demo_v1,
United States,USA,2023-03-01,2023,3,604004.1,,63525.1,5.04,331.9,"34,317,600",39.8,-98.6,demo_v1,
Poland,POL,2015-12-01,2015,12,17222.0,,3879.4,1.04,37.8,"1,363,200",52.0,19.1,demo_v1,
Spain,ESP,2016-07-01,2016,7,21739.5,1688.1,4389.1,21.15,47.4,"2,271,600",40.5,-3.7,demo_v1,
Germany,DEU,2016-07-01,2016,7,39007.2,,8061.1,23.38,83.2,"4,071,600",51.2,10.4,demo_v1,
United States,USA,2021-11-01,2021,11,510934.8,,45051.9,3.05,331.9,"34,298,400",39.8,-98.6,demo_v1,
Spain,ESP,2015-08-01,2015,8,21680.0,1710.4,1420.3,19.91,47.4,"2,258,400",40.5,-3.7,demo_v1,
France,FRA,2021-07-01,2021,7,47687.0,3703.4,7673.4,23.41,67.8,"3,873,600",46.2,2.2,demo_v1,
Poland,POL,2022-12-01,2022,12,286027.3,1011.6,1449.6,-4.7,37.8,"1,464,000",52.0,19.1,demo_v1,
Germany,DEU,2020-04-01,2020,4,58594.0,2750.9,2047.9,8.12,83.2,"4,125,600",51.2,10.4,demo_v1,
Germany,DEU,2022-06-01,2022,6,51046.2,,5461.3,20.22,83.2,"4,156,800",51.2,10.4,demo_v1,
Germany,DEU,2015-01-01,2015,1,53102.0,3566.7,4271.5,,83.2,"4,050,000",51.2,10.4,demo_v1,
United States,USA,2018-05-01,2018,5,397405.4,10148.1,26875.7,15.37,331.9,"34,248,000",39.8,-98.6,demo_v1,
United States,USA,2021-05-01,2021,5,460632.4,17618.3,46811.6,13.77,331.9,"34,291,200",39.8,-98.6,demo_v1,
Spain,ESP,2020-09-01,2020,9,30101.9,,1720.5,15.02,47.4,"2,331,600",40.5,-3.7,demo_v1,
United States,USA,2020-09-01,2020,9,462915.5,,18742.3,16.01,331.9,"34,281,600",39.8,-98.6,demo_v1,
France,FRA,2019-04-01,2019,4,-9999.0,,7034.6,6.98,67.8,"3,841,200",46.2,2.2,demo_v1,
United States,USA,2019-11-01,2019,11,518392.2,39921.8,1447.9,3.77,331.9,"34,269,600",39.8,-98.6,demo_v1,
Germany,DEU,2021-12-01,2021,12,67111.8,3519.2,1863.7,-2.61,83.2,"4,149,600",51.2,10.4,demo_v1,
Germany,DEU,2022-08-01,2022,8,49191.0,2632.8,132.0,17.57,83.2,"4,159,200",51.2,10.4,demo_v1,
United States,USA,2015-04-01,2015,4,369416.3,28724.6,49086.1,10.56,331.9,"34,203,600",39.8,-98.6,demo_v1,
Poland,POL,2021-12-01,2021,12,288289.5,,1216.9,1.81,37.8,"1,449,600",52.0,19.1,demo_v1,
Poland,POL,2016-12-01,2016,12,18607.9,,1416.5,1.11,37.8,"1,377,600",52.0,19.1,demo_v1,
Poland,POL,2018-10-01,2018,10,17948.5,980.2,2639.4,10.16,37.8,N/A,52.0,19.1,demo_v1,
