country_name,iso3,date,year,month,electricity_demand_mwh,solar_generation_mwh,wind_generation_mwh,temperature_c,population_millions,gdp_usd,latitude,longitude,data_source,notes
Spain,ESP,2018-02-01,2018,2,32889.1,479.6,2440.0,-4.83,47.4,"2,294,400",40.5,-3.7,demo_v1,
Spain,ESP,2017-01-01,2017,1,34132.0,,63.0,-3.94,47.4,"2,278,800",40.5,-3.7,demo_v1,
Germany,DEU,2017-02-01,2017,2,56693.7,1997.5,5356.0,4.1,83.2,"4,080,000",51.2,10.4,demo_v1,
Spain,ESP,2018-03-01,2018,3,31742.2,1160.2,1766.3,3.56,47.4,"2,295,600",40.5,-3.7,demo_v1,
France,FRA,2018-06-01,2018,6,41758.6,1863.9,5456.7,18.39,67.8,"3,829,200",46.2,2.2,demo_v1,
Spain,ESP,2018-12-01,2018,12,35186.7,1703.5,5143.7,-4.36,47.4,"2,306,400",40.5,-3.7,demo_v1,
France,FRA,2019-07-01,2019,7,43171.8,1868.1,7152.8,20.18,67.8,"3,844,800",46.2,2.2,demo_v1,
France,FRA,2016-07-01,2016,7,37828.5,1734.4,2609.9,18.21,67.8,"3,801,600",46.2,2.2,demo_v1,
France,FRA,2016-03-01,2016,3,46407.9,3567.5,6515.1,2.08,67.8,"3,796,800",46.2,2.2,demo_v1,
France,FRA,2018-08-01,2018,8,39434.5,1816.5,3234.3,18.66,67.8,"3,831,600",46.2,2.2,demo_v1,
Germany,DEU,2019-03-01,2019,3,56658.8,3957.4,6172.5,5.75,83.2,"4,110,000",51.2,10.4,demo_v1,
Germany,DEU,2019-11-01,2019,11,61075.1,3343.0,9962.3,1.21,83.2,N/A,51.2,10.4,demo_v1,
France,FRA,2019-12-01,2019,12,62764.7,,2364.6,-0.16,67.8,"3,850,800",46.2,2.2,demo_v1,
Spain,ESP,2016-11-01,2016,11,29838.2,2213.9,4402.5,5.18,47.4,"2,276,400",40.5,-3.7,demo_v1,
France,FRA,2019-10-01,2019,10,52993.0,1882.4,3605.5,,67.8,"3,848,400",46.2,2.2,demo_v1,
Spain,ESP,2019-06-01,2019,6,25040.4,136.5,3781.0,19.13,47.4,"2,313,600",40.5,-3.7,demo_v1,
France,FRA,2016-12-01,2016,12,53977.4,,5197.5,-0.76,67.8,"3,807,600",46.2,2.2,demo_v1,
Spain,ESP,2017-12-01,2017,12,33309.4,,4068.8,-1.72,47.4,"2,292,000",40.5,-3.7,demo_v1,
Spain,ESP,2015-06-01,2015,6,21822.1,,2148.7,21.01,47.4,"2,256,000",40.5,-3.7,demo_v1,
Germany,DEU,2019-09-01,2019,9,50030.5,2856.5,2501.5,14.68,83.2,"4,117,200",51.2,10.4,demo_v1,
Germany,DEU,2017-09-01,2017,9,43772.0,,2857.4,17.56,83.2,"4,088,400",51.2,10.4,demo_v1,
Germany,DEU,2016-05-01,2016,5,42813.6,,7174.4,18.29,83.2,"4,069,200",51.2,10.4,demo_v1,
Germany,DEU,2015-06-01,2015,6,36604.2,2064.8,1813.1,20.93,83.2,"4,056,000",51.2,10.4,demo_v1,
Spain,ESP,2016-01-01,2016,1,31089.7,1293.7,3131.1,-0.53,47.4,"2,264,400",40.5,-3.7,demo_v1,
France,FRA,2015-04-01,2015,4,44414.5,1733.9,5512.8,9.55,67.8,"3,783,600",46.2,2.2,demo_v1,
Germany,DEU,2017-04-01,2017,4,49596.1,2477.6,6688.6,11.04,83.2,"4,082,400",51.2,10.4,demo_v1,
Spain,ESP,2015-04-01,2015,4,25958.7,2757.7,3812.8,10.51,47.4,"2,253,600",40.5,-3.7,demo_v1,
Germany,DEU,2016-01-01,2016,1,54577.9,,6836.6,-4.4,83.2,"4,064,400",51.2,10.4,demo_v1,
