country,date,temperature_c,latitude,longitude
France,2022-05-01,13.0,46.2,2.2
Spain,2018-02-01,-4.83,40.5,-3.7
Spain,2017-01-01,-3.94,40.5,-3.7
Spain,2020-02-01,-3.32,40.5,-3.7
Spain,2023-06-01,,40.5,-3.7
Germany,2020-05-01,15.89,51.2,10.4
Germany,2022-09-01,,51.2,10.4
Germany,2017-02-01,4.1,51.2,10.4
France,2020-06-01,,46.2,2.2
France,2023-04-01,,46.2,2.2
Spain,2020-01-01,-1.3,40.5,-3.7
Spain,2018-03-01,3.56,40.5,-3.7
France,2022-05-01,13.0,46.2,2.2
France,2018-06-01,18.39,46.2,2.2
Spain,2020-10-01,12.28,40.5,-3.7
Spain,2018-12-01,-4.36,40.5,-3.7
France,2019-07-01,20.18,46.2,2.2
France,2016-07-01,18.21,46.2,2.2
Germany,2021-07-01,22.22,51.2,10.4
France,2016-03-01,2.08,46.2,2.2
France,2018-08-01,18.66,46.2,2.2
Germany,2019-03-01,5.75,51.2,10.4
Spain,2021-05-01,15.67,40.5,-3.7
Germany,2019-11-01,1.21,51.2,10.4
France,2019-12-01,-0.16,46.2,2.2
Spain,2016-11-01,5.18,40.5,-3.7
France,2019-10-01,,46.2,2.2
Germany,2021-09-01,15.37,51.2,10.4
Spain,2020-07-01,22.12,40.5,-3.7
Spain,2019-06-01,19.13,40.5,-3.7
France,2016-12-01,-0.76,46.2,2.2
Germany,2020-07-01,,51.2,10.4
Spain,2017-12-01,-1.72,40.5,-3.7
Spain,2023-04-01,9.09,40.5,-3.7
France,2021-03-01,3.0,46.2,2.2
Germany,2021-03-01,4.11,51.2,10.4
Spain,2021-08-01,21.4,40.5,-3.7
Germany,2023-12-01,-1.46,51.2,10.4
Spain,2015-06-01,21.01,40.5,-3.7
Germany,2019-09-01,14.68,51.2,10.4
Germany,2017-09-01,17.56,51.2,10.4
Germany,2016-05-01,18.29,51.2,10.4
Spain,2022-07-01,25.5,40.5,-3.7
Germany,2015-06-01,20.93,51.2,10.4
Spain,2016-01-01,-0.53,40.5,-3.7
France,2015-04-01,9.55,46.2,2.2
France,2021-11-01,1.77,46.2,2.2
Germany,2017-04-01,11.04,51.2,10.4
Spain,2015-04-01,10.51,40.5,-3.7
Germany,2016-01-01,-4.4,51.2,10.4
Spain,2017-05-01,14.18,40.5,-3.7
Germany,2018-06-01,21.86,51.2,10.4
Germany,2015-09-01,14.38,51.2,10.4
France,2015-02-01,-0.39,46.2,2.2
Germany,2022-01-01,1.05,51.2,10.4
Spain,2015-09-01,13.88,40.5,-3.7
Germany,2017-07-01,18.0,51.2,10.4
Spain,2016-08-01,21.1,40.5,-3.7
France,2022-09-01,16.21,46.2,2.2
Spain,2021-06-01,18.75,40.5,-3.7
Spain,2022-04-01,9.26,40.5,-3.7
Spain,2016-07-01,21.15,40.5,-3.7
Germany,2016-07-01,23.38,51.2,10.4
Spain,2015-08-01,19.91,40.5,-3.7
France,2021-07-01,23.41,46.2,2.2
Germany,2020-04-01,8.12,51.2,10.4
Germany,2022-06-01,20.22,51.2,10.4
Germany,2015-01-01,,51.2,10.4
Spain,2020-09-01,15.02,40.5,-3.7
France,2019-04-01,6.98,46.2,2.2
Germany,2021-12-01,-2.61,51.2,10.4
Germany,2022-08-01,17.57,51.2,10.4
France,2020-08-01,21.38,46.2,2.2
